idSerie,titulo,ano_lanzamiento,resumen
1,Stranger Things,2016,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying supernatural forces."
2,Game of Thrones,2011,"Nine noble families wage war against each other in order to gain control over the mythical land of Westeros."
3,Breaking Bad,2008,"A high school chemistry teacher turned methamphetamine producer in order to secure his family's future."
4,The Crown,2016,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
5,The Mandalorian,2019,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
6,Friends,1994,"Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan."
7,Black Mirror,2011,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
8,The Witcher,2019,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
9,The Office,2005,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
10,Westworld,2016,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence."
