idUsuario,idEpisodio,fecha
1,1,2023-01-10
2,2,2023-02-15
3,3,2023-03-20
4,4,2023-04-25
5,5,2023-05-30
6,6,2023-06-10
7,7,2023-07-15
8,8,2023-08-20
9,9,2023-09-25
10,10,2023-10-30
1,2,2023-01-30
2,1,2023-02-08
3,1,2023-03-22,
4,5,2023-04-28
5,4,2023-05-12
6,4,2023-06-18
7,8,2023-07-05
8,10,2023-08-16
9,1,2023-09-08
10,1,2023-10-20
1,10,2023-01-10
2,9,2023-02-25
3,8,2023-03-20
4,7,2023-12-28
5,6,2023-05-30
6,5,2023-06-18
7,4,2023-07-15
8,3,2023-08-16
9,2,2023-09-25
10,1,2023-10-20
1,9,2023-01-10
2,3,2023-02-25
3,8,2023-03-20
4,8,2023-12-28
5,8,2023-05-30
6,8,2023-06-18
7,9,2023-07-15
8,9,2023-08-16
9,10,2023-09-25
10,5,2023-10-20
